brand_name,location_name,phone,email,website,address,city,state,lat,lng,rating,review_count,categories,services,source_url,source
Love's,Love's Travel Stop,+18639460519,,https://www.loves.com/locations/683,"23073 US-27, Moore Haven, FL 33471",Moore Haven,FL,26.8348652,-81.13203,4.4,596,Truck stop;Auto care products store;Convenience store;Fast food restaurant;Gas station;Truck accessories store,truck_service;tire_service;roadside_vendor,https://www.google.com/maps/search/?api=1&query=Love's%20Travel%20Stop&query_place_id=ChIJQ3C0QFj024gRFr2BfFBbqgw,apify_google_maps
Love's,Love's Travel Stop,+17724605777,,https://www.loves.com/locations/415,"7150 Okeechobee Rd, Fort Pierce, FL 34945",Fort Pierce,FL,27.4136816,-80.3977802,3.9,772,Truck stop;Auto care products store;Convenience store;Fast food restaurant;Gas station;Truck accessories store,truck_service;tire_service;roadside_vendor,https://www.google.com/maps/search/?api=1&query=Love's%20Travel%20Stop&query_place_id=ChIJi4G5knDy3ogRPYVP1TpKoXM,apify_google_maps
Love's,Love's Travel Stop,+17724890363,,https://www.loves.com/locations/467,"200 S Kings Hwy, Fort Pierce, FL 34945",Fort Pierce,FL,27.4455472,-80.3979236,3.8,820,Truck stop;Auto care products store;Convenience store;Fast food restaurant;Gas station;Truck accessories store,truck_service;tire_service;roadside_vendor,https://www.google.com/maps/search/?api=1&query=Love's%20Travel%20Stop&query_place_id=ChIJ_2cA_U3y3ogRDzU_E500UKI,apify_google_maps
Love's,Love's Travel Stop,+12397319217,,https://www.loves.com/locations/495,"17308 Park 78 Dr, North Fort Myers, FL 33917",North Fort Myers,FL,26.7139307,-81.8150492,4.2,1099,Truck stop;Auto care products store;Convenience store;Fast food restaurant;Gas station;Truck accessories store,truck_service;tire_service;roadside_vendor,https://www.google.com/maps/search/?api=1&query=Love's%20Travel%20Stop&query_place_id=ChIJ76SXf_po24gR58P2j0rwGac,apify_google_maps
Love's,Love's Travel Stop,+18636764440,,https://www.loves.com/locations/674,"17309 US-27, Lake Wales, FL 33853",Lake Wales,FL,27.8727554,-81.5930192,4.4,1022,Truck stop;Auto care products store;Convenience store;Fast food restaurant;Gas station;Truck accessories store,truck_service;tire_service;roadside_vendor,https://www.google.com/maps/search/?api=1&query=Love's%20Travel%20Stop&query_place_id=ChIJ-2Kt-hAJ3YgRiUWzP7n4PRs,apify_google_maps
Love's,Love's Travel Stop,+13866719585,,https://www.loves.com/locations/316,"1657 US-1, Ormond Beach, FL 32174",Ormond Beach,FL,29.3396339,-81.1345835,3.7,1170,Truck stop;Auto care products store;Convenience store;Fast food restaurant;Gas station;Truck accessories store,truck_service;tire_service;roadside_vendor,https://www.google.com/maps/search/?api=1&query=Love's%20Travel%20Stop&query_place_id=ChIJXXsLmu7C5ogR7X8Hi_q7Gu0,apify_google_maps
Love's,Love's Travel Stop,+18634203623,,https://www.loves.com/locations/627,"45000 US-27, Davenport, FL 33897",Davenport,FL,28.2437532,-81.6575451,3.4,580,Truck stop;Auto care products store;Convenience store;Fast food restaurant;Gas station;Truck accessories store,truck_service;tire_service;roadside_vendor,https://www.google.com/maps/search/?api=1&query=Love's%20Travel%20Stop&query_place_id=ChIJF9YrqY163YgRotaZpJvOlvE,apify_google_maps
Love's,Love's Travel Stop,+13215296986,,https://www.loves.com/locations/868,"4440 FL-46, Mims, FL 32754",Mims,FL,28.667138,-80.8734261,4.3,541,Truck stop;Auto care products store;Convenience store;Fast food restaurant;Gas station;Truck accessories store,truck_service;tire_service;roadside_vendor,https://www.google.com/maps/search/?api=1&query=Love's%20Travel%20Stop&query_place_id=ChIJyXkEXuFL54gRht3oM_UwicQ,apify_google_maps
Love's,Love's Travel Stop,+18639847030,,https://www.loves.com/locations/228,"1800 FL-559, Polk City, FL 33868",Polk City,FL,28.1552691,-81.8007077,3.9,1255,Truck stop;Auto care products store;Convenience store;Fast food restaurant;Gas station;Truck accessories store,truck_service;tire_service;roadside_vendor,https://www.google.com/maps/search/?api=1&query=Love's%20Travel%20Stop&query_place_id=ChIJc07YYmdp3YgRpZRIkCFoN8U,apify_google_maps
Love's,Love's Travel Stop,+16617971800,,https://www.loves.com/locations/230,"21948 CA-46, Lost Hills, CA 93249",Lost Hills,CA,35.6169928,-119.6588712,3.9,983,Truck stop;Convenience store;Fast food restaurant;Gas station;Truck accessories store,truck_service;tire_service;roadside_vendor,https://www.google.com/maps/search/?api=1&query=Love's%20Travel%20Stop&query_place_id=ChIJjb6NrosR64AR0YmkhECiXBo,apify_google_maps
